                     level          0          1     p test annual_year
n...1                             121         11                      1
annual_q10.......2       0  89 (73.6)   6 (54.5) 0.406                1
X...3                    1  22 (18.2)   3 (27.3)                      1
X.1...4                  2    8 (6.6)   2 (18.2)                      1
X.2...5                  3    2 (1.7)    0 (0.0)                      1
annual_q11.......6       0  86 (71.1)   6 (54.5) 0.674                1
X.3...7                  1  28 (23.1)   4 (36.4)                      1
X.4...8                  2    6 (5.0)    1 (9.1)                      1
X.5...9                  3    1 (0.8)    0 (0.0)                      1
annual_q12.......10      0  61 (50.4)   6 (54.5) 0.989                1
X.6...11                 1  35 (28.9)   3 (27.3)                      1
X.7...12                 2  22 (18.2)   2 (18.2)                      1
X.8...13                 3    2 (1.7)    0 (0.0)                      1
X.9...14                 4    1 (0.8)    0 (0.0)                      1
IBS_flag.......15        0 116 (95.9) 11 (100.0) 1.000                1
X.10...16                1    5 (4.1)    0 (0.0)                      1
annual_q13.......17      0  48 (39.7)   4 (36.4) 0.367                1
X.11...18                1    8 (6.6)   2 (18.2)                      1
X.12...19                2  24 (19.8)    1 (9.1)                      1
X.13...20                3  25 (20.7)    1 (9.1)                      1
X.14...21                4    7 (5.8)   2 (18.2)                      1
X.15...22                5    9 (7.4)    1 (9.1)                      1
annual_q16.......23      0  28 (39.4)   1 (14.3) 0.207                1
X.16...24                1   9 (12.7)   1 (14.3)                      1
X.17...25                2    1 (1.4)   1 (14.3)                      1
X.18...26                3  14 (19.7)   1 (14.3)                      1
X.19...27                4  19 (26.8)   3 (42.9)                      1
annual_q14.......28      0  55 (77.5)  7 (100.0) 0.359                1
X.20...29                1  16 (22.5)    0 (0.0)                      1
annual_q15.......30      0  30 (41.1)   4 (57.1) 0.674                1
X.21...31                1  43 (58.9)   3 (42.9)                      1
annual_q18.......32      0  19 (26.0)    0 (0.0) 0.041                1
X.22...33                1  23 (31.5)   2 (28.6)                      1
X.23...34                2  15 (20.5)   5 (71.4)                      1
X.24...35                3  14 (19.2)    0 (0.0)                      1
X.25...36                4    2 (2.7)    0 (0.0)                      1
annual_q19.......37      0  30 (41.1)   1 (14.3) 0.233                1
X.26...38                1  24 (32.9)   3 (42.9)                      1
X.27...39                2  10 (13.7)   3 (42.9)                      1
X.28...40                3   8 (11.0)    0 (0.0)                      1
X.29...41                4    1 (1.4)    0 (0.0)                      1
annual_q20.......42      0  26 (36.1)    0 (0.0) 0.074                1
X.30...43                1  20 (27.8)   4 (57.1)                      1
X.31...44                2  11 (15.3)   3 (42.9)                      1
X.32...45                3  14 (19.4)    0 (0.0)                      1
X.33...46                4    1 (1.4)    0 (0.0)                      1
annual_q21.......47      0  42 (58.3)   2 (28.6) 0.385                1
X.34...48                1  21 (29.2)   3 (42.9)                      1
X.35...49                2   8 (11.1)   2 (28.6)                      1
X.36                     3    1 (1.4)    0 (0.0)                      1
n...51                             81         15                      2
annual_q10.......52      0  61 (75.3)  14 (93.3) 0.466                2
X...53                   1  14 (17.3)    1 (6.7)                      2
X.1...54                 2    5 (6.2)    0 (0.0)                      2
X.2...55                 3    1 (1.2)    0 (0.0)                      2
annual_q11.......56      0  57 (70.4)  14 (93.3) 0.146                2
X.3...57                 1  14 (17.3)    0 (0.0)                      2
X.4...58                 2  10 (12.3)    1 (6.7)                      2
annual_q12.......59      0  42 (51.9)  12 (80.0) 0.153                2
X.5...60                 1  25 (30.9)    1 (6.7)                      2
X.6...61                 2  10 (12.3)   2 (13.3)                      2
X.7...62                 3    4 (4.9)    0 (0.0)                      2
IBS_flag.......63        0  75 (92.6) 15 (100.0) 0.611                2
X.8...64                 1    6 (7.4)    0 (0.0)                      2
annual_q13.......65      0  33 (40.7)   5 (33.3) 0.219                2
X.9...66                 1   9 (11.1)   5 (33.3)                      2
X.10...67                2  14 (17.3)    1 (6.7)                      2
X.11...68                3  12 (14.8)    1 (6.7)                      2
X.12...69                4    5 (6.2)   2 (13.3)                      2
X.13...70                5    8 (9.9)    1 (6.7)                      2
annual_q16.......71      0  13 (27.1)   3 (33.3) 0.423                2
X.14...72                1    3 (6.2)   2 (22.2)                      2
X.15...73                2   6 (12.5)    0 (0.0)                      2
X.16...74                3   9 (18.8)   2 (22.2)                      2
X.17...75                4  17 (35.4)   2 (22.2)                      2
annual_q14.......76      0  39 (81.2)   5 (50.0) 0.090                2
X.18...77                1   9 (18.8)   5 (50.0)                      2
annual_q15.......78      0  20 (41.7)   1 (10.0) 0.125                2
X.19...79                1  28 (58.3)   9 (90.0)                      2
annual_q18.......80      0   8 (16.7)   2 (20.0) 0.344                2
X.20...81                1  14 (29.2)   2 (20.0)                      2
X.21...82                2  15 (31.2)   6 (60.0)                      2
X.22...83                3   9 (18.8)    0 (0.0)                      2
X.23...84                4    2 (4.2)    0 (0.0)                      2
annual_q19.......85      0  15 (31.2)   4 (40.0) 0.808                2
X.24...86                1  20 (41.7)   5 (50.0)                      2
X.25...87                2   8 (16.7)   1 (10.0)                      2
X.26...88                3    4 (8.3)    0 (0.0)                      2
X.27...89                4    1 (2.1)    0 (0.0)                      2
annual_q20.......90      0  19 (39.6)   5 (50.0) 0.504                2
X.28...91                1  11 (22.9)   4 (40.0)                      2
X.29...92                2  10 (20.8)   1 (10.0)                      2
X.30...93                3   7 (14.6)    0 (0.0)                      2
X.31...94                4    1 (2.1)    0 (0.0)                      2
annual_q21.......95      0  25 (52.1)   4 (40.0) 0.626                2
X.32...96                1  12 (25.0)   3 (30.0)                      2
X.33...97                2   7 (14.6)   2 (20.0)                      2
X.34...98                3    1 (2.1)   1 (10.0)                      2
X.35...99                4    3 (6.2)    0 (0.0)                      2
n...100                            39          9                      3
annual_q10.......101     0  31 (79.5)   8 (88.9) 0.604                3
X...102                  1   4 (10.3)   1 (11.1)                      3
X.1...103                2   4 (10.3)    0 (0.0)                      3
annual_q11.......104     0  28 (71.8)   8 (88.9) 0.465                3
X.2...105                1   6 (15.4)   1 (11.1)                      3
X.3...106                2   5 (12.8)    0 (0.0)                      3
annual_q12.......107     0  20 (51.3)   7 (77.8) 0.359                3
X.4...108                1   9 (23.1)   2 (22.2)                      3
X.5...109                2   9 (23.1)    0 (0.0)                      3
X.6...110                3    1 (2.6)    0 (0.0)                      3
IBS_flag.......111       0  33 (84.6)   8 (88.9) 1.000                3
X.7...112                1   6 (15.4)   1 (11.1)                      3
annual_q13.......113     0  11 (28.2)   4 (44.4) 0.398                3
X.8...114                1   5 (12.8)   1 (11.1)                      3
X.9...115                2  12 (30.8)    0 (0.0)                      3
X.10...116               3   5 (12.8)   2 (22.2)                      3
X.11...117               4    2 (5.1)    0 (0.0)                      3
X.12...118               5   4 (10.3)   2 (22.2)                      3
annual_q16.......119     0  13 (46.4)   1 (20.0) 0.428                3
X.13...120               2    2 (7.1)    0 (0.0)                      3
X.14...121               3   6 (21.4)   1 (20.0)                      3
X.15...122               4   7 (25.0)   3 (60.0)                      3
annual_q14.......123     0  25 (89.3)   3 (60.0) 0.315                3
X.16...124               1   3 (10.7)   2 (40.0)                      3
annual_q15.......125     0   9 (32.1)   3 (60.0) 0.491                3
X.17...126               1  19 (67.9)   2 (40.0)                      3
annual_q18.......127     0   8 (28.6)   1 (20.0) 0.352                3
X.18...128               1   8 (28.6)    0 (0.0)                      3
X.19...129               2   7 (25.0)   3 (60.0)                      3
X.20...130               3   5 (17.9)   1 (20.0)                      3
annual_q19.......131     0  13 (46.4)    0 (0.0) 0.163                3
X.21...132               1   6 (21.4)   1 (20.0)                      3
X.22...133               2   7 (25.0)   4 (80.0)                      3
